epoch,train_acc,val_acc,train_loss,val_loss
1,0.9190287590026855,0.9272862076759338,0.2166963368654251,0.18953478336334229
2,0.926720917224884,0.9283697605133057,0.19143958389759064,0.18397697806358337
3,0.9275479316711426,0.9311642646789551,0.18609479069709778,0.17805100977420807
4,0.9278972148895264,0.930280327796936,0.18158164620399475,0.17538371682167053
5,0.9284461736679077,0.9314209222793579,0.17978498339653015,0.17878876626491547
6,0.9287099242210388,0.9311357736587524,0.17813335359096527,0.17850708961486816
7,0.9291590452194214,0.9311357736587524,0.17712613940238953,0.1740473061800003
8,0.9293586611747742,0.9312497973442078,0.1764695793390274,0.17464101314544678
9,0.9293159246444702,0.9317631125450134,0.17583626508712769,0.17547622323036194
10,0.9293515682220459,0.9313638806343079,0.1755879521369934,0.1709994673728943
11,0.9296509623527527,0.9313638806343079,0.1750093549489975,0.1709635704755783
12,0.929608166217804,0.9314209222793579,0.17464418709278107,0.16961751878261566
13,0.9297507405281067,0.9314209222793579,0.17397800087928772,0.17125044763088226
14,0.9296866059303284,0.9315919876098633,0.17440834641456604,0.17144295573234558
15,0.9300073981285095,0.9319056868553162,0.17374548316001892,0.16949725151062012
16,0.9299432635307312,0.932105302810669,0.1734350621700287,0.17010563611984253
17,0.9300858378410339,0.9320482611656189,0.17320063710212708,0.17052443325519562
18,0.9301571249961853,0.9317060708999634,0.17313581705093384,0.17017020285129547
19,0.9301713705062866,0.9316205382347107,0.17282597720623016,0.1688956320285797
20,0.9300644397735596,0.9322193264961243,0.17298875749111176,0.1690455824136734
